Energy related CO2 emissions by sector (ktCO2),Transport,Residential,Industry,Services,Agricultural
2005,15299,11843,10519,7764,1414
2006,16359,11775,10668,7099,1320
2007,17142,11254,9981,7206,1218
2008,16226,11985,9447,7781,1259
2009,14412,11495,8410,6384,1107
2010,13571,12123,8707,6046,1052
2011,13039,10472,8208,5225,988
2012,12341,10346,8386,5363,986
2013,12824,9902,7884,4830,876
2014,13316,9092,7933,4639,811
2015,14083,9557,8332,4906,791
2016,14670,9699,8744,5158,818
2017,14845,9110,8409,5041,822
2018,15277,9114,8118,4860,831
